code,system
662o.00,readv2
G61..12,readv2
7004300.0,readv2
G61..11,readv2
G610.00,readv2
G612.00,readv2
G613.00,readv2
G614.00,readv2
G615.00,readv2
G617.00,readv2
G618.00,readv2
G619.00,readv2
G61z.00,readv2
G61..00,readv2
107440.0,med
13564.0,med
18604.0,med
19201.0,med
28314.0,med
30045.0,med
30202.0,med
31060.0,med
31595.0,med
3535.0,med
40338.0,med
46316.0,med
5051.0,med
53810.0,med
57315.0,med
62342.0,med
6960.0,med
7017.0,med
7912.0,med
96630.0,med
G611.00,readv2
G616.00,readv2
G61X.00,readv2
Gyu6F00,readv2
G61X000,readv2
G61X100,readv2
G681.00,readv2
G682.00,readv2
Gyu6200,readv2
28914.0,med
43451.0,med
48149.0,med
I61,icd10
I69.1,icd10